Student_Name,Course_Name,Attendance,Grade,ESL_Student,Siblings,Social_Security_Number,Test_Score,ID,Test_Score_mean
Student1,CourseV,99,61,1,2,***_**_****,51.0,1,51.0
Student2,CourseT,100,68,0,2,***_**_****,97.0,2,97.0
Student3,CourseZ,65,62,1,2,***_**_****,,3,79.1
Student4,CourseD,99,59,0,1,***_**_****,86.0,4,86.0
Student5,CourseM,69,52,0,1,***_**_****,81.0,5,81.0
Student6,CourseO,93,3,1,0,***_**_****,,6,79.1
Student7,CourseM,74,77,1,0,***_**_****,72.0,7,72.0
Student8,CourseH,80,40,1,2,***_**_****,76.0,8,76.0
Student9,CourseM,86,63,0,4,***_**_****,98.0,9,98.0
Student10,CourseO,97,68,1,3,***_**_****,87.0,10,87.0
Student11,CourseW,89,18,0,1,***_**_****,,11,79.1
Student12,CourseI,100,86,0,3,***_**_****,,12,79.1
Student13,CourseH,70,4,1,3,***_**_****,88.0,13,88.0
Student14,CourseP,90,52,1,2,***_**_****,82.0,14,82.0
Student15,CourseV,62,96,0,4,***_**_****,78.0,15,78.0
Student16,CourseY,100,48,1,2,***_**_****,81.0,16,81.0
Student17,CourseD,86,70,0,2,***_**_****,50.0,17,50.0
Student18,CourseT,100,40,0,0,***_**_****,80.0,18,80.0
Student19,CourseH,92,98,1,4,***_**_****,84.0,19,84.0
Student20,CourseI,93,44,1,4,***_**_****,94.0,20,94.0
Student21,CourseD,67,5,1,1,***_**_****,57.0,21,57.0
Student22,CourseY,65,23,1,3,***_**_****,78.0,22,78.0
Student23,CourseO,69,69,1,0,***_**_****,,23,79.1
Student24,CourseP,87,67,0,4,***_**_****,78.0,24,78.0
Student25,CourseK,97,11,0,2,***_**_****,84.0,25,84.0
